,date_index,rsrp,rsrq,wbcqi
753,5779,-83,-2,15
754,5778,-83,-2,15
755,5777,-83,-2,15
756,5776,-83,-2,15
757,5775,-83,-2,15
758,5774,-83,-2,15
759,5773,-83,-2,15
760,5772,-83,-2,15
761,5771,-83,-2,15
762,5770,-83,-2,15
763,5769,-83,-2,15
764,5768,-83,-2,15
765,5767,-83,-2,15
766,5766,-83,-2,15
767,5765,-83,-2,15
768,5764,-83,-2,15
769,5763,-83,-2,15
770,5762,-83,-2,15
771,5761,-83,-2,15
772,5760,-83,-2,15
773,5759,-83,-2,15
774,5758,-83,-2,15
775,5757,-83,-2,15
776,5756,-83,-2,15
777,5755,-83,-2,15
778,5754,-83,-2,15
779,5753,-83,-2,15
780,5752,-83,-2,15
781,5751,-83,-2,15
782,5750,-83,-2,15
783,5749,-83,-2,15
784,5748,-83,-2,15
785,5747,-83,-2,15
786,5746,-83,-2,15
787,5745,-83,-2,15
788,5744,-83,-2,15
789,5743,-83,-2,15
790,5742,-83,-2,15
791,5741,-83,-2,15
792,5740,-83,-2,15
793,5739,-83,-2,15
794,5738,-83,-2,15
795,5737,-83,-2,15
796,5736,-83,-2,15
797,5735,-83,-2,15
798,5734,-83,-2,15
799,5733,-83,-2,15
800,5732,-83,-2,15
801,5731,-83,-2,15
802,5730,-83,-2,15
803,5729,-83,-2,15
804,5728,-83,-2,15
805,5727,-83,-2,15
806,5726,-83,-2,15
807,5725,-83,-2,15
808,5724,-83,-2,15
809,5723,-83,-2,15
810,5722,-83,-2,15
811,5721,-83,-2,15
812,5720,-83,-2,15
813,5719,-83,-2,15
814,5718,-83,-2,15
815,5717,-83,-2,15
816,5716,-83,-2,15
817,5715,-83,-2,15
818,5714,-83,-2,15
819,5713,-83,-2,15
820,5712,-83,-2,15
821,5711,-83,-2,15
822,5710,-83,-2,15
823,5709,-83,-2,15
824,5708,-83,-2,15
825,5707,-83,-2,15
826,5706,-83,-2,15
827,5705,-83,-2,15
828,5704,-83,-2,15
829,5703,-83,-2,15
830,5702,-83,-2,15
831,5701,-83,-2,15
832,5700,-83,-2,15
833,5699,-83,-2,15
834,5698,-83,-2,15
835,5697,-83,-2,15
836,5696,-83,-2,15
837,5695,-83,-2,15
838,5694,-83,-2,15
839,5693,-83,-2,15
840,5692,-83,-2,15
841,5691,-83,-2,15
842,5690,-83,-2,15
843,5689,-83,-2,15
844,5688,-83,-2,15
845,5687,-83,-2,15
846,5686,-83,-2,15
847,5685,-83,-2,15
848,5684,-83,-2,15
849,5683,-83,-2,15
850,5682,-83,-2,15
851,5681,-83,-2,15
852,5680,-83,-2,15
853,5679,-83,-2,15
854,5678,-83,-2,15
855,5677,-83,-2,15
856,5676,-83,-2,15
857,5675,-83,-2,15
858,5674,-83,-2,15
859,5673,-83,-2,15
860,5672,-83,-2,15
861,5671,-83,-2,15
862,5670,-83,-2,15
863,5669,-83,-2,15
864,5668,-83,-2,15
865,5667,-83,-2,15
866,5666,-83,-2,15
867,5665,-83,-2,15
868,5664,-83,-2,15
869,5663,-83,-2,15
870,5662,-83,-2,15
871,5661,-83,-2,15
872,5660,-83,-2,15
873,5659,-83,-2,15
874,5658,-83,-2,15
875,5657,-83,-2,15
876,5656,-83,-2,15
877,5655,-83,-2,15
878,5654,-83,-2,15
